user_count,operation,layer,unit,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
500,membership_claim_json_size,two_layer,bytes,value,30,30,30,1.000000000,1920.000000000,1920.000000000,0.000000000,1920.000000000,1920.000000000,1920.000000000,2.045227358,1920.000000000,1920.000000000
500,membership_verification,global,ms,value,30,30,30,1.000000000,1.692560000,1.641850000,0.550668896,2.531400000,1.486937084,1.898182916,2.045227358,0.995900000,3.000100000
500,membership_verification,regional,ms,value,30,30,30,1.000000000,1.796116667,1.921750000,0.641394531,2.631500000,1.556616280,2.035617053,2.045227358,0.507900000,3.328700000
500,public_accumulator_state_json_size,two_layer,bytes,value,30,30,30,1.000000000,48350.000000000,48350.000000000,0.000000000,48350.000000000,48350.000000000,48350.000000000,2.045227358,48350.000000000,48350.000000000
500,revocation,global,ms,value,30,30,30,1.000000000,235.624886667,232.594050000,20.456398424,287.809600000,227.986350490,243.263422843,2.045227358,207.851700000,301.437700000
500,revocation,regional,ms,value,30,30,30,1.000000000,232.528660000,233.271700000,13.227992149,254.592800000,227.589252071,237.468067929,2.045227358,211.264600000,259.013900000
500,single_witness_refresh_after_revocation,global,ms,value,30,30,30,1.000000000,230.333770000,227.894100000,16.585684814,268.607700000,224.140580425,236.526959575,2.045227358,203.356200000,279.245500000
500,single_witness_refresh_after_revocation,regional,ms,value,30,30,30,1.000000000,225.514336667,224.175250000,13.463962100,245.069000000,220.486816209,230.541857125,2.045227358,198.566400000,266.986100000
500,two_layer_claim_generation,two_layer,ms,value,30,30,30,1.000000000,473.466436667,466.112450000,25.371058212,527.232800000,463.992738415,482.940134918,2.045227358,437.161900000,540.072100000
500,two_layer_hash_to_prime,two_layer,ms,value,30,30,30,1.000000000,4.113356667,4.052000000,1.282224417,6.356900000,3.634566735,4.592146598,2.045227358,1.998500000,7.085100000
500,two_layer_member_addition,two_layer,ms,value,30,30,30,1.000000000,3.763780000,3.512400000,0.916258881,5.825100000,3.421643693,4.105916307,2.045227358,2.233800000,6.000800000
500,two_layer_membership_verification,two_layer,ms,value,30,30,30,1.000000000,3.488676667,3.486900000,0.630539587,4.376000000,3.253229578,3.724123755,2.045227358,1.996800000,4.836100000
500,two_layer_revocation,two_layer,ms,value,30,30,30,1.000000000,468.153546667,463.810100000,23.175850044,515.968100000,459.499551701,476.807541633,2.045227358,430.250600000,542.402400000
500,two_layer_single_witness_refresh_after_revocation,two_layer,ms,value,30,30,30,1.000000000,455.848106667,450.750750000,23.629081603,509.321400000,447.024872444,464.671340889,2.045227358,414.880100000,535.593800000
500,witness_generation,global,ms,value,30,30,30,1.000000000,234.358306667,230.333700000,20.839290279,276.282900000,226.576796481,242.139816852,2.045227358,202.048400000,290.247600000
