orders,committee_size,t_sig,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
100,5,3,request_payload_bytes,30,30,30,1.000000000,100932.500000000,100942.500000000,70.671044649,101020.000000000,100906.111027709,100958.888972291,2.045227358,100770.000000000,101085.000000000
100,5,3,response_payload_bytes,30,30,30,1.000000000,824817.333333333,833400.000000000,24158.958313255,846845.000000000,815796.240116537,833838.426550130,2.045227358,774175.000000000,847075.000000000
100,5,3,total_payload_bytes,30,30,30,1.000000000,925749.833333333,934317.500000000,24173.465878055,947930.000000000,916723.322908861,934776.343757805,2.045227358,875185.000000000,948050.000000000
100,7,4,input_encode_ms,30,30,30,1.000000000,0.216863333,0.000000000,0.271200730,0.574400000,0.115595429,0.318131237,2.045227358,0.000000000,0.651800000
100,7,4,plaintext_compute_sign_http_ms,30,30,30,1.000000000,6.811333333,6.646700000,1.008572282,8.644200000,6.434726674,7.187939992,2.045227358,5.395800000,10.036900000
100,7,4,threshold_response_ms,30,30,30,1.000000000,6.039436667,5.593400000,1.127957567,8.644200000,5.618250860,6.460622474,2.045227358,4.820100000,8.833100000
100,7,4,signature_verify_aggregate_ms,30,30,30,1.000000000,17.861043333,17.698350000,1.392858157,19.826300000,17.340942131,18.381144536,2.045227358,15.171700000,20.992500000
100,7,4,total_ms,30,30,30,1.000000000,24.889240000,24.225750000,2.160498391,28.468500000,24.082497543,25.695982457,2.045227358,21.140400000,30.425200000
100,7,4,request_payload_bytes,30,30,30,1.000000000,141345.400000000,141326.500000000,94.119732989,141491.000000000,141310.255153363,141380.544846637,2.045227358,141204.000000000,141540.000000000
100,7,4,response_payload_bytes,30,30,30,1.000000000,1151033.066666667,1161468.000000000,29307.185130464,1186185.000000000,1140089.596109876,1161976.537223457,2.045227358,1073933.000000000,1186255.000000000
100,7,4,total_payload_bytes,30,30,30,1.000000000,1292378.466666667,1302752.500000000,29338.978880914,1327424.000000000,1281423.124141607,1303333.809191726,2.045227358,1215263.000000000,1327718.000000000
1000,3,2,input_encode_ms,30,30,30,1.000000000,1.509280000,1.395450000,0.575807403,2.654200000,1.294270222,1.724289778,2.045227358,0.995400000,3.026800000
