modulus_bits,hash_to_prime_bits,user_count,run_id,seed,deployment_id,warmups_discarded,operation,layer,value,unit,latency_ms,scope,setup_included,rsa_setup_included,success,error
2048,256,100,4,2026,local-e2-production-2048,1,member_addition,regional,1.964700000,ms,1.964700000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,member_addition,global,1.843100000,ms,1.843100000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,3.807800000,ms,3.807800000,sum of one regional and one global member addition,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,witness_generation,regional,44.884700000,ms,44.884700000,fresh witness for one active member,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,witness_generation,global,46.837500000,ms,46.837500000,fresh witness for one active member,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,91.722200000,ms,91.722200000,sum of regional and global witness generation,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,membership_verification,regional,1.002300000,ms,1.002300000,one current regional witness,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,membership_verification,global,0.999800000,ms,0.999800000,one current global witness,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,2.002100000,ms,2.002100000,sum of current regional and global verification,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,revocation,regional,46.184300000,ms,46.184300000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,revocation,global,42.340900000,ms,42.340900000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,88.525200000,ms,88.525200000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,46.014100000,ms,46.014100000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,49.199800000,ms,49.199800000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,95.213900000,ms,95.213900000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,4,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,hash_to_prime,regional,1.912000000,ms,1.912000000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,hash_to_prime,global,0.999700000,ms,0.999700000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,2.911700000,ms,2.911700000,sum for one regional and one global representative,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,member_addition,regional,0.998800000,ms,0.998800000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,member_addition,global,1.485600000,ms,1.485600000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,2.484400000,ms,2.484400000,sum of one regional and one global member addition,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,witness_generation,regional,52.483400000,ms,52.483400000,fresh witness for one active member,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,witness_generation,global,39.512000000,ms,39.512000000,fresh witness for one active member,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,91.995400000,ms,91.995400000,sum of regional and global witness generation,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,membership_verification,regional,2.866600000,ms,2.866600000,one current regional witness,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,membership_verification,global,2.101900000,ms,2.101900000,one current global witness,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,4.968500000,ms,4.968500000,sum of current regional and global verification,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,revocation,regional,42.530600000,ms,42.530600000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,revocation,global,41.472800000,ms,41.472800000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,84.003400000,ms,84.003400000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,41.442400000,ms,41.442400000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,41.484200000,ms,41.484200000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,82.926600000,ms,82.926600000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,5,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,hash_to_prime,regional,1.437400000,ms,1.437400000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,hash_to_prime,global,0.958000000,ms,0.958000000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,2.395400000,ms,2.395400000,sum for one regional and one global representative,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,member_addition,regional,2.699900000,ms,2.699900000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,member_addition,global,1.507500000,ms,1.507500000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,4.207400000,ms,4.207400000,sum of one regional and one global member addition,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,witness_generation,regional,46.943300000,ms,46.943300000,fresh witness for one active member,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,witness_generation,global,44.730700000,ms,44.730700000,fresh witness for one active member,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,91.674000000,ms,91.674000000,sum of regional and global witness generation,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,membership_verification,regional,1.604600000,ms,1.604600000,one current regional witness,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,membership_verification,global,2.099400000,ms,2.099400000,one current global witness,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,3.704000000,ms,3.704000000,sum of current regional and global verification,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,revocation,regional,51.230500000,ms,51.230500000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,revocation,global,42.253100000,ms,42.253100000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,93.483600000,ms,93.483600000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,50.262300000,ms,50.262300000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,46.685300000,ms,46.685300000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,96.947600000,ms,96.947600000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,6,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
