batch_size,run_id,seed,warmups_discarded,inner_repeat,descriptor_hash_ms,batch_hash_ms,hmac_generate_ms,hmac_verify_ms,signature_generate_ms,signature_verify_ms,total_preprocess_ms,pipeline_with_verification_ms,batch_hash_hex_chars,batch_digest_bytes,signature_der_bytes,success,error,protocol_version
10,82,12026,20,20,0.050000000,0.000000000,,,0.000000000,0.122900000,0.050000000,0.172900000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,83,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.100335000,0.000000000,0.100335000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,84,12026,20,20,0.000000000,0.000000000,,,0.099875000,0.091555000,0.099875000,0.191430000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,85,12026,20,20,0.000000000,0.000000000,,,0.050075000,0.100895000,0.050075000,0.150970000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,86,12026,20,20,0.000000000,0.000000000,,,0.000000000,0.099885000,0.000000000,0.099885000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,87,12026,20,20,0.000000000,0.050720000,,,0.000000000,0.099965000,0.050720000,0.150685000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,88,12026,20,20,0.000000000,0.000000000,,,0.049995000,0.099995000,0.049995000,0.149990000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,89,12026,20,20,0.000000000,0.000000000,,,0.075200000,0.063735000,0.075200000,0.138935000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,90,12026,20,20,0.050135000,0.000000000,,,0.000000000,0.103440000,0.050135000,0.153575000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,91,12026,20,20,0.000000000,0.000000000,,,0.050455000,0.107130000,0.050455000,0.157585000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,92,12026,20,20,0.050045000,0.000000000,,,0.025365000,0.134020000,0.075410000,0.209430000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,93,12026,20,20,0.000000000,0.050720000,,,0.000000000,0.100535000,0.050720000,0.151255000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
10,94,12026,20,20,0.000000000,0.000000000,,,0.075010000,0.125930000,0.075010000,0.200940000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,95,12026,20,20,0.000000000,0.000000000,,,0.050035000,0.050200000,0.050035000,0.100235000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,96,12026,20,20,0.000000000,0.000000000,,,0.079975000,0.150680000,0.079975000,0.230655000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,97,12026,20,20,0.000000000,0.000000000,,,0.050630000,0.049990000,0.050630000,0.100620000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
10,98,12026,20,20,0.074225000,0.000000000,,,0.000000000,0.099745000,0.074225000,0.173970000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,99,12026,20,20,0.052760000,0.000000000,,,0.000000000,0.121465000,0.052760000,0.174225000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
10,100,12026,20,20,0.000000000,0.000000000,,,0.050150000,0.102545000,0.050150000,0.152695000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,1,52026,20,20,0.078270000,0.026745000,,,0.025950000,0.242720000,0.130965000,0.373685000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,2,52026,20,20,0.055640000,0.026735000,,,0.079085000,0.157060000,0.161460000,0.318520000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,3,52026,20,20,0.053005000,0.026155000,,,0.060550000,0.215550000,0.139710000,0.355260000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,4,52026,20,20,0.026980000,0.026820000,,,0.056175000,0.188570000,0.109975000,0.298545000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,5,52026,20,20,0.026560000,0.052645000,,,0.052915000,0.180115000,0.132120000,0.312235000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,6,52026,20,20,0.050460000,0.084360000,,,0.069685000,0.243950000,0.204505000,0.448455000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,7,52026,20,20,0.113460000,0.000000000,,,0.150320000,0.168405000,0.263780000,0.432185000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,8,52026,20,20,0.025335000,0.050410000,,,0.050035000,0.227325000,0.125780000,0.353105000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,9,52026,20,20,0.058190000,0.049905000,,,0.000000000,0.198810000,0.108095000,0.306905000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,10,52026,20,20,0.051130000,0.056180000,,,0.049965000,0.149920000,0.157275000,0.307195000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,11,52026,20,20,0.075335000,0.000000000,,,0.050365000,0.200055000,0.125700000,0.325755000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,12,52026,20,20,0.050025000,0.049980000,,,0.050015000,0.217435000,0.150020000,0.367455000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,13,52026,20,20,0.000000000,0.049845000,,,0.049950000,0.227450000,0.099795000,0.327245000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,14,52026,20,20,0.050240000,0.049825000,,,0.075735000,0.205715000,0.175800000,0.381515000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,15,52026,20,20,0.050345000,0.073370000,,,0.049865000,0.225785000,0.173580000,0.399365000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,16,52026,20,20,0.050065000,0.069380000,,,0.065535000,0.184395000,0.184980000,0.369375000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,17,52026,20,20,0.052005000,0.000000000,,,0.100755000,0.192175000,0.152760000,0.344935000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,18,52026,20,20,0.050415000,0.000000000,,,0.049920000,0.225680000,0.100335000,0.326015000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,19,52026,20,20,0.049910000,0.000000000,,,0.100070000,0.150160000,0.149980000,0.300140000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,20,52026,20,20,0.075505000,0.000000000,,,0.100525000,0.175915000,0.176030000,0.351945000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,21,52026,20,20,0.050095000,0.050100000,,,0.063435000,0.175610000,0.163630000,0.339240000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,22,52026,20,20,0.050010000,0.029505000,,,0.100395000,0.175830000,0.179910000,0.355740000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,23,52026,20,20,0.000000000,0.050210000,,,0.052050000,0.201300000,0.102260000,0.303560000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,24,52026,20,20,0.050425000,0.049940000,,,0.099985000,0.193695000,0.200350000,0.394045000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,25,52026,20,20,0.050320000,0.000000000,,,0.101315000,0.211630000,0.151635000,0.363265000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,26,52026,20,20,0.069620000,0.000000000,,,0.122740000,0.252445000,0.192360000,0.444805000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,27,52026,20,20,0.000000000,0.075895000,,,0.060445000,0.150030000,0.136340000,0.286370000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,28,52026,20,20,0.099990000,0.049840000,,,0.049870000,0.207380000,0.199700000,0.407080000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,29,52026,20,20,0.000000000,0.055485000,,,0.054080000,0.177670000,0.109565000,0.287235000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,30,52026,20,20,0.050030000,0.000000000,,,0.071385000,0.210320000,0.121415000,0.331735000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,31,52026,20,20,0.050005000,0.000000000,,,0.049985000,0.231430000,0.099990000,0.331420000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,32,52026,20,20,0.050275000,0.000000000,,,0.049975000,0.181740000,0.100250000,0.281990000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,33,52026,20,20,0.063640000,0.000000000,,,0.050030000,0.179680000,0.113670000,0.293350000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,34,52026,20,20,0.049995000,0.000000000,,,0.049995000,0.175685000,0.099990000,0.275675000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,35,52026,20,20,0.049945000,0.000000000,,,0.052355000,0.204245000,0.102300000,0.306545000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,36,52026,20,20,0.000000000,0.051935000,,,0.049890000,0.200320000,0.101825000,0.302145000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,37,52026,20,20,0.000000000,0.050085000,,,0.025370000,0.200655000,0.075455000,0.276110000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,38,52026,20,20,0.050000000,0.000000000,,,0.116220000,0.180845000,0.166220000,0.347065000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,39,52026,20,20,0.049855000,0.049955000,,,0.050140000,0.155540000,0.149950000,0.305490000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,40,52026,20,20,0.050055000,0.063220000,,,0.049915000,0.174795000,0.163190000,0.337985000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,41,52026,20,20,0.050545000,0.000000000,,,0.049920000,0.167275000,0.100465000,0.267740000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,42,52026,20,20,0.075415000,0.000000000,,,0.052105000,0.235100000,0.127520000,0.362620000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,43,52026,20,20,0.050030000,0.000000000,,,0.072860000,0.157170000,0.122890000,0.280060000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,44,52026,20,20,0.072900000,0.000000000,,,0.068475000,0.186755000,0.141375000,0.328130000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,45,52026,20,20,0.050285000,0.000000000,,,0.030575000,0.183045000,0.080860000,0.263905000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,46,52026,20,20,0.050565000,0.050300000,,,0.000000000,0.232470000,0.100865000,0.333335000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,47,52026,20,20,0.000000000,0.050165000,,,0.000000000,0.235675000,0.050165000,0.285840000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,48,52026,20,20,0.025200000,0.050430000,,,0.000000000,0.265205000,0.075630000,0.340835000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,49,52026,20,20,0.000000000,0.050120000,,,0.049930000,0.178635000,0.100050000,0.278685000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,50,52026,20,20,0.050495000,0.050055000,,,0.000000000,0.170755000,0.100550000,0.271305000,64,32,70,true,,PP-RETF-PREPROCESSING-v2
50,51,52026,20,20,0.057600000,0.050615000,,,0.050070000,0.168480000,0.158285000,0.326765000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
50,52,52026,20,20,0.074110000,0.025180000,,,0.075810000,0.167835000,0.175100000,0.342935000,64,32,72,true,,PP-RETF-PREPROCESSING-v2
50,53,52026,20,20,0.080675000,0.026190000,,,0.026335000,0.178110000,0.133200000,0.311310000,64,32,71,true,,PP-RETF-PREPROCESSING-v2
