experiment,operation,run_id,seed,deployment_id,warmups_discarded,evaluate_or_submit,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,total_ms,input_bytes,output_bytes,business_valid,success,error
E4,preprocessing_evidence_submission,44,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.423900000,2.160200000,2054.030600000,2073.614700000,1200,0,true,true,
E4,task_submission,45,2026,e4-20260713T113950.708594500,5,submit,0.000000000,274.966400000,2.602200000,2052.746500000,2330.315100000,1143,0,true,true,
E4,preprocessing_evidence_submission,45,2026,e4-20260713T113950.708594500,5,submit,0.000000000,16.119500000,2.304300000,2063.368000000,2081.791800000,1200,0,true,true,
E4,task_submission,46,2026,e4-20260713T113950.708594500,5,submit,0.000000000,296.173100000,3.446400000,2054.022200000,2353.641700000,1143,0,true,true,
E4,preprocessing_evidence_submission,46,2026,e4-20260713T113950.708594500,5,submit,0.000000000,19.798600000,2.664800000,2055.570400000,2078.033800000,1200,0,true,true,
E4,task_submission,47,2026,e4-20260713T113950.708594500,5,submit,0.000000000,274.669700000,2.138300000,2049.907000000,2326.715000000,1143,0,true,true,
E4,preprocessing_evidence_submission,47,2026,e4-20260713T113950.708594500,5,submit,0.000000000,18.891600000,3.185300000,2060.923900000,2083.000800000,1200,0,true,true,
E4,task_submission,48,2026,e4-20260713T113950.708594500,5,submit,0.000000000,272.667000000,2.304800000,2058.647500000,2333.619300000,1143,0,true,true,
E4,preprocessing_evidence_submission,48,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.849300000,2.096000000,2057.681100000,2077.626400000,1200,0,true,true,
E4,task_submission,49,2026,e4-20260713T113950.708594500,5,submit,0.000000000,275.738000000,2.077100000,2056.912400000,2334.727500000,1143,0,true,true,
E4,preprocessing_evidence_submission,49,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.339200000,2.096100000,2053.495200000,2072.930500000,1200,0,true,true,
E4,task_submission,50,2026,e4-20260713T113950.708594500,5,submit,0.000000000,295.579500000,2.712600000,2048.653600000,2346.945700000,1143,0,true,true,
E4,preprocessing_evidence_submission,50,2026,e4-20260713T113950.708594500,5,submit,0.000000000,17.394800000,3.158000000,2049.362700000,2069.915500000,1200,0,true,true,
E4,valid_regional_membership_verification,1,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,263.350900000,0.000000000,0.000000000,263.350900000,2195,82,true,true,
E4,valid_regional_membership_verification,2,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,271.061000000,0.000000000,0.000000000,271.061000000,2195,82,true,true,
E4,valid_regional_membership_verification,3,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,284.112800000,0.000000000,0.000000000,284.112800000,2195,82,true,true,
E4,valid_regional_membership_verification,4,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,276.872500000,0.000000000,0.000000000,276.872500000,2195,82,true,true,
E4,valid_regional_membership_verification,5,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,259.724000000,0.000000000,0.000000000,259.724000000,2195,82,true,true,
E4,valid_regional_membership_verification,6,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,267.789100000,0.000000000,0.000000000,267.789100000,2195,82,true,true,
E4,valid_regional_membership_verification,7,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,272.126900000,0.000000000,0.000000000,272.126900000,2195,82,true,true,
E4,valid_regional_membership_verification,8,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,282.583400000,0.000000000,0.000000000,282.583400000,2195,82,true,true,
E4,valid_regional_membership_verification,9,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,262.478900000,0.000000000,0.000000000,262.478900000,2195,82,true,true,
E4,valid_regional_membership_verification,10,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,267.013900000,0.000000000,0.000000000,267.013900000,2195,82,true,true,
E4,valid_regional_membership_verification,11,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,274.387300000,0.000000000,0.000000000,274.387300000,2195,82,true,true,
E4,valid_regional_membership_verification,12,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,301.869300000,0.000000000,0.000000000,301.869300000,2195,82,true,true,
E4,valid_regional_membership_verification,13,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,276.407900000,0.000000000,0.000000000,276.407900000,2195,82,true,true,
E4,valid_regional_membership_verification,14,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,275.814400000,0.000000000,0.000000000,275.814400000,2195,82,true,true,
E4,valid_regional_membership_verification,15,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,270.396900000,0.000000000,0.000000000,270.396900000,2195,82,true,true,
E4,valid_regional_membership_verification,16,2026,e4-20260713T113950.708594500,5,evaluate,0.527500000,269.436500000,0.000000000,0.000000000,269.964000000,2195,82,true,true,
E4,valid_regional_membership_verification,17,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,265.902500000,0.000000000,0.000000000,265.902500000,2195,82,true,true,
E4,valid_regional_membership_verification,18,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,266.151900000,0.000000000,0.000000000,266.151900000,2195,82,true,true,
E4,valid_regional_membership_verification,19,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,266.719500000,0.000000000,0.000000000,266.719500000,2195,82,true,true,
E4,valid_regional_membership_verification,20,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,260.215000000,0.000000000,0.000000000,260.215000000,2195,82,true,true,
E4,valid_regional_membership_verification,21,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,279.360000000,0.000000000,0.000000000,279.360000000,2195,82,true,true,
E4,valid_regional_membership_verification,22,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,280.726600000,0.000000000,0.000000000,280.726600000,2195,82,true,true,
E4,valid_regional_membership_verification,23,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,266.670500000,0.000000000,0.000000000,266.670500000,2195,82,true,true,
E4,valid_regional_membership_verification,24,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,266.513100000,0.000000000,0.000000000,266.513100000,2195,82,true,true,
E4,valid_regional_membership_verification,25,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,264.523800000,0.000000000,0.000000000,264.523800000,2195,82,true,true,
E4,valid_regional_membership_verification,26,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,286.574200000,0.000000000,0.000000000,286.574200000,2195,82,true,true,
E4,valid_regional_membership_verification,27,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,269.828100000,0.000000000,0.000000000,269.828100000,2195,82,true,true,
E4,valid_regional_membership_verification,28,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,275.306600000,0.000000000,0.000000000,275.306600000,2195,82,true,true,
E4,valid_regional_membership_verification,29,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,268.247200000,0.000000000,0.000000000,268.247200000,2195,82,true,true,
E4,valid_regional_membership_verification,30,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,297.416800000,0.000000000,0.000000000,297.416800000,2195,82,true,true,
E4,valid_regional_membership_verification,31,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,271.761200000,0.000000000,0.000000000,271.761200000,2195,82,true,true,
E4,valid_regional_membership_verification,32,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,274.481500000,0.000000000,0.000000000,274.481500000,2195,82,true,true,
E4,valid_regional_membership_verification,33,2026,e4-20260713T113950.708594500,5,evaluate,0.000000000,265.684200000,0.000000000,0.000000000,265.684200000,2195,82,true,true,
