variant,run_id,paired_block_id,order_position,deployment_index,deployment_id,seed,warmups_discarded_per_deployment,users,orders,matched_pairs,input_hash,semantic_hash,canonical_result_hash,local_matching_ms,preprocessing_ms,membership_ms,committee_ms,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,finalization_ms,state_query_ms,total_ms,success,error
RETF_C,6,6,2,1,e5-d1-20260713T120859.405885700,102726,1,10,10,8,db7bed1c28c3938588fe00fbb3f166b8593cdab09e1ff77ecf643b696123424e,534b57d3b6880920ea62821582b5058c42c0272bb2cacc067bcb5bfd6af9b60b,0a1ebfa845f03b454242f9b2042a91702d6b565142bf23789dd31182b27cbd35,0.000000000,0.000000000,0.000000000,3.152900000,0.000000000,7.856600000,3.203000000,2052.400600000,2063.460200000,4.727600000,2071.340700000,true,
PP_RETF,6,6,3,1,e5-d1-20260713T120859.405885700,102726,1,10,10,8,db7bed1c28c3938588fe00fbb3f166b8593cdab09e1ff77ecf643b696123424e,534b57d3b6880920ea62821582b5058c42c0272bb2cacc067bcb5bfd6af9b60b,0a1ebfa845f03b454242f9b2042a91702d6b565142bf23789dd31182b27cbd35,0.000000000,0.000000000,427.120400000,3.898000000,0.000000000,290.113400000,3.596500000,2045.107000000,2338.816900000,5.262100000,2775.097400000,true,
RETF_H,6,6,4,1,e5-d1-20260713T120859.405885700,102726,1,10,10,8,db7bed1c28c3938588fe00fbb3f166b8593cdab09e1ff77ecf643b696123424e,534b57d3b6880920ea62821582b5058c42c0272bb2cacc067bcb5bfd6af9b60b,0a1ebfa845f03b454242f9b2042a91702d6b565142bf23789dd31182b27cbd35,0.525400000,0.000000000,0.000000000,0.000000000,0.000000000,7.986400000,2.112000000,2041.483600000,2051.582000000,5.246200000,2057.353600000,true,
RETF_A,6,6,5,1,e5-d1-20260713T120859.405885700,102726,1,10,10,8,db7bed1c28c3938588fe00fbb3f166b8593cdab09e1ff77ecf643b696123424e,534b57d3b6880920ea62821582b5058c42c0272bb2cacc067bcb5bfd6af9b60b,0a1ebfa845f03b454242f9b2042a91702d6b565142bf23789dd31182b27cbd35,0.504600000,0.000000000,431.622900000,0.000000000,0.000000000,298.873500000,9.455300000,2044.342200000,2352.671000000,6.873200000,2791.671700000,true,
RETF_C,7,7,1,1,e5-d1-20260713T120859.405885700,102826,1,10,10,8,b057f9592ab6e3b6f52154c7683bae5fdd99a3de9a002d3324be4abc8593174c,55aa46b06b86a9819b66bba63a8cee1dbbf0c9a1f31e52894a39669fa695081f,84559a08beff391d21393b93be6a6435e08615a81ec7ebde673e1fcedda5911a,0.000000000,0.000000000,0.000000000,4.230600000,0.000000000,11.781300000,2.690400000,2044.875100000,2059.346800000,5.436100000,2069.013500000,true,
PP_RETF,7,7,2,1,e5-d1-20260713T120859.405885700,102826,1,10,10,8,b057f9592ab6e3b6f52154c7683bae5fdd99a3de9a002d3324be4abc8593174c,55aa46b06b86a9819b66bba63a8cee1dbbf0c9a1f31e52894a39669fa695081f,84559a08beff391d21393b93be6a6435e08615a81ec7ebde673e1fcedda5911a,0.000000000,0.000000000,466.215000000,4.247000000,0.000000000,328.534100000,3.195900000,2044.454300000,2376.184300000,5.341000000,2851.987300000,true,
Plain_RETF,7,7,3,1,e5-d1-20260713T120859.405885700,102826,1,10,10,8,b057f9592ab6e3b6f52154c7683bae5fdd99a3de9a002d3324be4abc8593174c,55aa46b06b86a9819b66bba63a8cee1dbbf0c9a1f31e52894a39669fa695081f,84559a08beff391d21393b93be6a6435e08615a81ec7ebde673e1fcedda5911a,0.598700000,0.000000000,0.000000000,0.000000000,0.000000000,6.982800000,2.632800000,2040.688800000,2050.304400000,5.482800000,2056.385900000,true,
RETF_H,7,7,4,1,e5-d1-20260713T120859.405885700,102826,1,10,10,8,b057f9592ab6e3b6f52154c7683bae5fdd99a3de9a002d3324be4abc8593174c,55aa46b06b86a9819b66bba63a8cee1dbbf0c9a1f31e52894a39669fa695081f,84559a08beff391d21393b93be6a6435e08615a81ec7ebde673e1fcedda5911a,0.512500000,0.000000000,0.000000000,0.000000000,0.000000000,7.957500000,2.645600000,2041.082400000,2051.685500000,5.288300000,2057.486300000,true,
RETF_A,7,7,5,1,e5-d1-20260713T120859.405885700,102826,1,10,10,8,b057f9592ab6e3b6f52154c7683bae5fdd99a3de9a002d3324be4abc8593174c,55aa46b06b86a9819b66bba63a8cee1dbbf0c9a1f31e52894a39669fa695081f,84559a08beff391d21393b93be6a6435e08615a81ec7ebde673e1fcedda5911a,0.546200000,0.000000000,427.673200000,0.000000000,0.000000000,278.763200000,2.674300000,2043.046400000,2324.483900000,5.565800000,2758.269100000,true,
PP_RETF,8,8,1,1,e5-d1-20260713T120859.405885700,102926,1,10,10,8,7afa4ed8a493585c783c79ab750170c6d1af48d5026c2df7b56ab32a76855a15,b09ce41b7964a8f32213f39edc34b15f49eb21e6185355e95a0be11d497881bd,6bd107ec3e843b8fe925e9d47745682007a4970007bc2504d2f3fcf792a4faca,0.000000000,0.000000000,463.180200000,3.678300000,0.000000000,306.867500000,3.953900000,2042.065600000,2352.887000000,4.868300000,2824.613800000,true,
RETF_H,8,8,2,1,e5-d1-20260713T120859.405885700,102926,1,10,10,8,7afa4ed8a493585c783c79ab750170c6d1af48d5026c2df7b56ab32a76855a15,b09ce41b7964a8f32213f39edc34b15f49eb21e6185355e95a0be11d497881bd,6bd107ec3e843b8fe925e9d47745682007a4970007bc2504d2f3fcf792a4faca,0.533800000,0.531300000,0.000000000,0.000000000,0.000000000,6.814600000,2.683600000,2044.235200000,2053.733400000,4.713600000,2059.512100000,true,
RETF_C,8,8,3,1,e5-d1-20260713T120859.405885700,102926,1,10,10,8,7afa4ed8a493585c783c79ab750170c6d1af48d5026c2df7b56ab32a76855a15,b09ce41b7964a8f32213f39edc34b15f49eb21e6185355e95a0be11d497881bd,6bd107ec3e843b8fe925e9d47745682007a4970007bc2504d2f3fcf792a4faca,0.000000000,0.000000000,0.000000000,4.896800000,0.000000000,7.700300000,2.614800000,2051.626100000,2061.941200000,8.824900000,2075.662900000,true,
Plain_RETF,8,8,4,1,e5-d1-20260713T120859.405885700,102926,1,10,10,8,7afa4ed8a493585c783c79ab750170c6d1af48d5026c2df7b56ab32a76855a15,b09ce41b7964a8f32213f39edc34b15f49eb21e6185355e95a0be11d497881bd,6bd107ec3e843b8fe925e9d47745682007a4970007bc2504d2f3fcf792a4faca,0.531000000,0.000000000,0.000000000,0.000000000,0.000000000,10.297500000,3.755800000,2048.446600000,2062.499900000,6.622800000,2070.196200000,true,
RETF_A,8,8,5,1,e5-d1-20260713T120859.405885700,102926,1,10,10,8,7afa4ed8a493585c783c79ab750170c6d1af48d5026c2df7b56ab32a76855a15,b09ce41b7964a8f32213f39edc34b15f49eb21e6185355e95a0be11d497881bd,6bd107ec3e843b8fe925e9d47745682007a4970007bc2504d2f3fcf792a4faca,0.504000000,0.000000000,458.829500000,0.000000000,0.000000000,300.949300000,2.767100000,2042.829500000,2346.545900000,5.201900000,2811.602600000,true,
