orders,committee_size,t_priv,t_sig,run_id,seed,warmups_discarded,process_model,computation_mode,matched_pairs,input_encode_ms,sharing_ms,share_transfer_ms,reconstruction_ms,secure_sort_ms,plaintext_compute_sign_http_ms,threshold_response_ms,signature_verify_aggregate_ms,total_ms,request_payload_bytes,response_payload_bytes,total_payload_bytes,application_rounds,success,error
100,3,not_applicable_plaintext,2,11,3102037,5,independent_os_processes,committee-side plaintext comparison prototype,96,0.000000000,,,,,4.881400000,4.881400000,8.482600000,13.364000000,60549,495651,556200,1,true,
100,3,not_applicable_plaintext,2,12,3102038,5,independent_os_processes,committee-side plaintext comparison prototype,99,0.528500000,,,,,5.406500000,5.406500000,7.951700000,13.886700000,60576,507969,568545,1,true,
100,3,not_applicable_plaintext,2,13,3102039,5,independent_os_processes,committee-side plaintext comparison prototype,98,0.000000000,,,,,4.826000000,4.294400000,8.110100000,12.936100000,60564,504063,564627,1,true,
100,3,not_applicable_plaintext,2,14,3102040,5,independent_os_processes,committee-side plaintext comparison prototype,97,0.000000000,,,,,5.384200000,4.853500000,8.770100000,14.154300000,60543,499185,559728,1,true,
100,3,not_applicable_plaintext,2,15,3102041,5,independent_os_processes,committee-side plaintext comparison prototype,92,0.000000000,,,,,5.952900000,5.952900000,8.038500000,13.991400000,60606,479709,540315,1,true,
100,3,not_applicable_plaintext,2,16,3102042,5,independent_os_processes,committee-side plaintext comparison prototype,98,0.000000000,,,,,4.268700000,4.268700000,8.052400000,12.321100000,60552,504039,564591,1,true,
100,3,not_applicable_plaintext,2,17,3102043,5,independent_os_processes,committee-side plaintext comparison prototype,91,0.000000000,,,,,5.360000000,5.360000000,7.972400000,13.332400000,60519,476265,536784,1,true,
100,3,not_applicable_plaintext,2,18,3102044,5,independent_os_processes,committee-side plaintext comparison prototype,93,0.000000000,,,,,5.477000000,5.477000000,8.690100000,14.167100000,60543,483405,543948,1,true,
100,3,not_applicable_plaintext,2,19,3102045,5,independent_os_processes,committee-side plaintext comparison prototype,97,0.539100000,,,,,7.267800000,5.580800000,8.740400000,16.547300000,60567,499461,560028,1,true,
100,3,not_applicable_plaintext,2,20,3102046,5,independent_os_processes,committee-side plaintext comparison prototype,95,0.534100000,,,,,7.132800000,7.132800000,7.998200000,15.665100000,60567,492093,552660,1,true,
100,3,not_applicable_plaintext,2,21,3102047,5,independent_os_processes,committee-side plaintext comparison prototype,94,0.000000000,,,,,7.248900000,5.083300000,8.566700000,15.815600000,60597,487809,548406,1,true,
100,3,not_applicable_plaintext,2,22,3102048,5,independent_os_processes,committee-side plaintext comparison prototype,95,0.000000000,,,,,5.977000000,5.429300000,6.339800000,12.316800000,60582,491217,551799,1,true,
100,3,not_applicable_plaintext,2,23,3102049,5,independent_os_processes,committee-side plaintext comparison prototype,98,0.531500000,,,,,6.672600000,6.134900000,8.996800000,16.200900000,60600,503373,563973,1,true,
100,3,not_applicable_plaintext,2,24,3102050,5,independent_os_processes,committee-side plaintext comparison prototype,98,0.532100000,,,,,5.902400000,4.293500000,7.953700000,14.388200000,60606,503733,564339,1,true,
100,3,not_applicable_plaintext,2,25,3102051,5,independent_os_processes,committee-side plaintext comparison prototype,94,0.548100000,,,,,4.403000000,4.403000000,7.856000000,12.807100000,60537,488349,548886,1,true,
100,3,not_applicable_plaintext,2,26,3102052,5,independent_os_processes,committee-side plaintext comparison prototype,99,0.000000000,,,,,6.555500000,6.027600000,9.482300000,16.037800000,60540,506955,567495,1,true,
100,3,not_applicable_plaintext,2,27,3102053,5,independent_os_processes,committee-side plaintext comparison prototype,93,0.529900000,,,,,4.486900000,4.486900000,8.513700000,13.530500000,60618,483591,544209,1,true,
100,3,not_applicable_plaintext,2,28,3102054,5,independent_os_processes,committee-side plaintext comparison prototype,97,0.000000000,,,,,5.854600000,5.854600000,8.009700000,13.864300000,60519,499677,560196,1,true,
100,3,not_applicable_plaintext,2,29,3102055,5,independent_os_processes,committee-side plaintext comparison prototype,93,0.000000000,,,,,5.945700000,5.399900000,6.954800000,12.900500000,60597,483417,544014,1,true,
100,3,not_applicable_plaintext,2,30,3102056,5,independent_os_processes,committee-side plaintext comparison prototype,99,0.528300000,,,,,4.249700000,3.721300000,8.019700000,12.797700000,60603,508227,568830,1,true,
500,3,not_applicable_plaintext,2,1,3502027,5,independent_os_processes,committee-side plaintext comparison prototype,499,1.003600000,,,,,19.856100000,19.856100000,36.556900000,57.416600000,299928,2530251,2830179,1,true,
500,3,not_applicable_plaintext,2,2,3502028,5,independent_os_processes,committee-side plaintext comparison prototype,496,1.000000000,,,,,21.443700000,20.376800000,33.727500000,56.171200000,300222,2519991,2820213,1,true,
500,3,not_applicable_plaintext,2,3,3502029,5,independent_os_processes,committee-side plaintext comparison prototype,499,0.000000000,,,,,17.379500000,16.855000000,34.451300000,51.830800000,300186,2532561,2832747,1,true,
500,3,not_applicable_plaintext,2,4,3502030,5,independent_os_processes,committee-side plaintext comparison prototype,492,1.043800000,,,,,17.054200000,15.996000000,35.079500000,53.177500000,300162,2502675,2802837,1,true,
500,3,not_applicable_plaintext,2,5,3502031,5,independent_os_processes,committee-side plaintext comparison prototype,498,0.000000000,,,,,18.094200000,17.572100000,33.633400000,51.727600000,300117,2527893,2828010,1,true,
500,3,not_applicable_plaintext,2,6,3502032,5,independent_os_processes,committee-side plaintext comparison prototype,483,0.000000000,,,,,18.637900000,18.637900000,32.842300000,51.480200000,300213,2468325,2768538,1,true,
500,3,not_applicable_plaintext,2,7,3502033,5,independent_os_processes,committee-side plaintext comparison prototype,493,1.029800000,,,,,16.209900000,16.209900000,36.758100000,53.997800000,300156,2508351,2808507,1,true,
500,3,not_applicable_plaintext,2,8,3502034,5,independent_os_processes,committee-side plaintext comparison prototype,497,0.995700000,,,,,21.673500000,20.612300000,36.699100000,59.368300000,300051,2523381,2823432,1,true,
500,3,not_applicable_plaintext,2,9,3502035,5,independent_os_processes,committee-side plaintext comparison prototype,493,0.000000000,,,,,18.415700000,17.898900000,33.752400000,52.168100000,300303,2509011,2809314,1,true,
500,3,not_applicable_plaintext,2,10,3502036,5,independent_os_processes,committee-side plaintext comparison prototype,492,1.503900000,,,,,22.385600000,21.306100000,34.207800000,58.097300000,300132,2501847,2801979,1,true,
500,3,not_applicable_plaintext,2,11,3502037,5,independent_os_processes,committee-side plaintext comparison prototype,494,0.000000000,,,,,17.309300000,16.757000000,35.314300000,52.623600000,300108,2510985,2811093,1,true,
500,3,not_applicable_plaintext,2,12,3502038,5,independent_os_processes,committee-side plaintext comparison prototype,469,1.000000000,,,,,18.124400000,17.584800000,31.914900000,51.039300000,300330,2411061,2711391,1,true,
500,3,not_applicable_plaintext,2,13,3502039,5,independent_os_processes,committee-side plaintext comparison prototype,475,1.007100000,,,,,19.447800000,18.370300000,35.894600000,56.349500000,300105,2436015,2736120,1,true,
500,3,not_applicable_plaintext,2,14,3502040,5,independent_os_processes,committee-side plaintext comparison prototype,496,0.999500000,,,,,22.760300000,21.696500000,36.291900000,60.051700000,299979,2519445,2819424,1,true,
500,3,not_applicable_plaintext,2,15,3502041,5,independent_os_processes,committee-side plaintext comparison prototype,488,0.996500000,,,,,18.190300000,18.190300000,33.887200000,53.074000000,300216,2488053,2788269,1,true,
500,3,not_applicable_plaintext,2,16,3502042,5,independent_os_processes,committee-side plaintext comparison prototype,493,0.999400000,,,,,18.325500000,16.195800000,34.713600000,54.038500000,300300,2508537,2808837,1,true,
500,3,not_applicable_plaintext,2,17,3502043,5,independent_os_processes,committee-side plaintext comparison prototype,498,1.086400000,,,,,46.753500000,25.651000000,39.593400000,87.433300000,300135,2527791,2827926,1,true,
500,3,not_applicable_plaintext,2,18,3502044,5,independent_os_processes,committee-side plaintext comparison prototype,480,1.006300000,,,,,21.708200000,21.708200000,35.595100000,58.309600000,300171,2455857,2756028,1,true,
500,3,not_applicable_plaintext,2,19,3502045,5,independent_os_processes,committee-side plaintext comparison prototype,476,0.999600000,,,,,17.416600000,16.835800000,31.746100000,50.162300000,300153,2439531,2739684,1,true,
500,3,not_applicable_plaintext,2,20,3502046,5,independent_os_processes,committee-side plaintext comparison prototype,492,1.031200000,,,,,18.946000000,18.946000000,41.588000000,61.565200000,300015,2504265,2804280,1,true,
500,3,not_applicable_plaintext,2,21,3502047,5,independent_os_processes,committee-side plaintext comparison prototype,494,1.000200000,,,,,20.169600000,20.169600000,38.794400000,59.964200000,300180,2511729,2811909,1,true,
500,3,not_applicable_plaintext,2,22,3502048,5,independent_os_processes,committee-side plaintext comparison prototype,484,1.039300000,,,,,24.824900000,19.904000000,37.893000000,63.757200000,300171,2470851,2771022,1,true,
500,3,not_applicable_plaintext,2,23,3502049,5,independent_os_processes,committee-side plaintext comparison prototype,497,0.000000000,,,,,24.308700000,21.639900000,33.136300000,57.445000000,300225,2523627,2823852,1,true,
500,3,not_applicable_plaintext,2,24,3502050,5,independent_os_processes,committee-side plaintext comparison prototype,497,1.391600000,,,,,20.341900000,19.792900000,35.127500000,56.861000000,300294,2523357,2823651,1,true,
500,3,not_applicable_plaintext,2,25,3502051,5,independent_os_processes,committee-side plaintext comparison prototype,497,0.999000000,,,,,18.145500000,16.566300000,35.050500000,54.195000000,300252,2523783,2824035,1,true,
