variant,run_id,paired_block_id,deployment_index,deployment_id,seed,order_position,total_ms,plain_total_ms,delta_ms,relative_overhead_percent,input_hash_equal,semantic_hash_equal,success
Plain_RETF,18,18,2,e5-d2-20260713T121119.183794400,202926,1,2061.529700000,2061.529700000,0.000000000,0.000000000,true,true,true
RETF_A,18,18,2,e5-d2-20260713T121119.183794400,202926,4,2774.331600000,2061.529700000,712.801900000,34.576358517,true,true,true
RETF_C,18,18,2,e5-d2-20260713T121119.183794400,202926,3,2063.627000000,2061.529700000,2.097300000,0.101735134,true,true,true
RETF_H,18,18,2,e5-d2-20260713T121119.183794400,202926,5,2061.279600000,2061.529700000,-0.250100000,-0.012131768,true,true,true
PP_RETF,19,19,2,e5-d2-20260713T121119.183794400,203026,1,2851.313500000,2054.090900000,797.222600000,38.811456689,true,true,true
Plain_RETF,19,19,2,e5-d2-20260713T121119.183794400,203026,2,2054.090900000,2054.090900000,0.000000000,0.000000000,true,true,true
RETF_A,19,19,2,e5-d2-20260713T121119.183794400,203026,3,2808.864800000,2054.090900000,754.773900000,36.744912311,true,true,true
RETF_C,19,19,2,e5-d2-20260713T121119.183794400,203026,5,2062.881500000,2054.090900000,8.790600000,0.427955744,true,true,true
RETF_H,19,19,2,e5-d2-20260713T121119.183794400,203026,4,2062.414600000,2054.090900000,8.323700000,0.405225494,true,true,true
PP_RETF,20,20,2,e5-d2-20260713T121119.183794400,203126,3,2795.049100000,2056.257200000,738.791900000,35.928963556,true,true,true
Plain_RETF,20,20,2,e5-d2-20260713T121119.183794400,203126,5,2056.257200000,2056.257200000,0.000000000,0.000000000,true,true,true
RETF_A,20,20,2,e5-d2-20260713T121119.183794400,203126,2,2794.914600000,2056.257200000,738.657400000,35.922422545,true,true,true
RETF_C,20,20,2,e5-d2-20260713T121119.183794400,203126,4,2059.790800000,2056.257200000,3.533600000,0.171846207,true,true,true
RETF_H,20,20,2,e5-d2-20260713T121119.183794400,203126,1,2058.176700000,2056.257200000,1.919500000,0.093349217,true,true,true
PP_RETF,21,21,3,e5-d3-20260713T121337.834860900,302226,1,2747.461900000,2059.175000000,688.286900000,33.425371812,true,true,true
Plain_RETF,21,21,3,e5-d3-20260713T121337.834860900,302226,5,2059.175000000,2059.175000000,0.000000000,0.000000000,true,true,true
RETF_A,21,21,3,e5-d3-20260713T121337.834860900,302226,2,2758.758500000,2059.175000000,699.583500000,33.973970158,true,true,true
RETF_C,21,21,3,e5-d3-20260713T121337.834860900,302226,3,2058.090900000,2059.175000000,-1.084100000,-0.052647298,true,true,true
RETF_H,21,21,3,e5-d3-20260713T121337.834860900,302226,4,2062.552100000,2059.175000000,3.377100000,0.164002574,true,true,true
PP_RETF,22,22,3,e5-d3-20260713T121337.834860900,302326,5,2748.910900000,2062.868100000,686.042800000,33.256745790,true,true,true
Plain_RETF,22,22,3,e5-d3-20260713T121337.834860900,302326,2,2062.868100000,2062.868100000,0.000000000,0.000000000,true,true,true
RETF_A,22,22,3,e5-d3-20260713T121337.834860900,302326,1,2836.589600000,2062.868100000,773.721500000,37.507075707,true,true,true
RETF_C,22,22,3,e5-d3-20260713T121337.834860900,302326,4,2066.424000000,2062.868100000,3.555900000,0.172376508,true,true,true
RETF_H,22,22,3,e5-d3-20260713T121337.834860900,302326,3,2064.740500000,2062.868100000,1.872400000,0.090766831,true,true,true
PP_RETF,23,23,3,e5-d3-20260713T121337.834860900,302426,5,2748.038900000,2055.726300000,692.312600000,33.677275034,true,true,true
Plain_RETF,23,23,3,e5-d3-20260713T121337.834860900,302426,3,2055.726300000,2055.726300000,0.000000000,0.000000000,true,true,true
RETF_A,23,23,3,e5-d3-20260713T121337.834860900,302426,4,2746.190400000,2055.726300000,690.464100000,33.587355476,true,true,true
RETF_C,23,23,3,e5-d3-20260713T121337.834860900,302426,2,2065.253100000,2055.726300000,9.526800000,0.463427451,true,true,true
