experiment,source_file,group_json,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""single_witness_refresh_after_revocation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,225.514336667,224.175250000,13.463962100,245.069000000,220.486816209,230.541857125,2.045227358,198.566400000,266.986100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""two_layer_claim_generation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,473.466436667,466.112450000,25.371058212,527.232800000,463.992738415,482.940134918,2.045227358,437.161900000,540.072100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""two_layer_hash_to_prime"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,4.113356667,4.052000000,1.282224417,6.356900000,3.634566735,4.592146598,2.045227358,1.998500000,7.085100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""two_layer_member_addition"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,3.763780000,3.512400000,0.916258881,5.825100000,3.421643693,4.105916307,2.045227358,2.233800000,6.000800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""two_layer_membership_verification"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,3.488676667,3.486900000,0.630539587,4.376000000,3.253229578,3.724123755,2.045227358,1.996800000,4.836100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""two_layer_revocation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,468.153546667,463.810100000,23.175850044,515.968100000,459.499551701,476.807541633,2.045227358,430.250600000,542.402400000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""two_layer_single_witness_refresh_after_revocation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,455.848106667,450.750750000,23.629081603,509.321400000,447.024872444,464.671340889,2.045227358,414.880100000,535.593800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""witness_generation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,234.358306667,230.333700000,20.839290279,276.282900000,226.576796481,242.139816852,2.045227358,202.048400000,290.247600000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""500"",""operation"":""witness_generation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,239.108130000,236.286450000,14.851879854,267.638700000,233.562353114,244.653906886,2.045227358,219.343900000,270.026700000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""5000"",""operation"":""hash_to_prime"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,2.447550000,2.091150000,1.276639506,4.931000000,1.970845507,2.924254493,2.045227358,0.994000000,5.031200000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""5000"",""operation"":""hash_to_prime"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.926373333,1.998050000,1.050025251,5.018100000,1.534287899,2.318458768,2.045227358,0.999600000,5.060700000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""5000"",""operation"":""member_addition"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,1.682176667,1.646750000,0.689836987,3.022100000,1.424587590,1.939765743,2.045227358,0.000000000,3.035800000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""5000"",""operation"":""member_addition"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,1.640160000,1.514750000,0.717899834,2.996700000,1.372092096,1.908227904,2.045227358,0.000000000,3.070900000
