experiment,source_file,group_json,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""single_witness_refresh_after_revocation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,45.887586667,46.558950000,4.258279538,52.620400000,44.297520731,47.477652602,2.045227358,38.657500000,57.090200000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""single_witness_refresh_after_revocation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,46.519906667,45.426500000,5.042306720,57.405300000,44.637080497,48.402732836,2.045227358,38.564200000,58.735700000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""two_layer_claim_generation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,96.183036667,93.893700000,8.265100155,112.770700000,93.096800995,99.269272339,2.045227358,83.826300000,114.262400000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""two_layer_hash_to_prime"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,4.471616667,4.191800000,1.843805445,8.158300000,3.783129167,5.160104166,2.045227358,2.137000000,9.750900000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""two_layer_member_addition"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,3.492526667,3.433650000,0.891646461,4.950400000,3.159580778,3.825472555,2.045227358,2.442500000,6.601900000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""two_layer_membership_verification"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,3.437700000,3.519600000,0.861873537,4.968500000,3.115871491,3.759528509,2.045227358,2.002100000,5.524900000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""two_layer_revocation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,95.586733333,95.924650000,11.031187154,114.166600000,91.467624955,99.705841712,2.045227358,78.701200000,126.808600000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""two_layer_single_witness_refresh_after_revocation"",""layer"":""two_layer"",""unit"":""ms""}",value,30,30,30,1.000000000,92.407493333,91.392850000,8.108530326,108.370200000,89.379721731,95.435264936,2.045227358,78.413400000,111.356100000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""witness_generation"",""layer"":""global"",""unit"":""ms""}",value,30,30,30,1.000000000,47.718696667,46.781650000,5.813173131,58.660100000,45.548024570,49.889368763,2.045227358,38.715000000,63.811500000
E2_accumulator,fig3_accumulator_scale_statistics.csv,"{""user_count"":""100"",""operation"":""witness_generation"",""layer"":""regional"",""unit"":""ms""}",value,30,30,30,1.000000000,48.464340000,47.426950000,4.981952309,59.682100000,46.604050513,50.324629487,2.045227358,40.641800000,60.910500000
